roadID,XCoord_0,YCoord_0,XCoord_1,YCoord_1
24801,816496,3383515,816488,3383709
24802,816488,3383709,816483,3383776
24803,816483,3383776,816391,3383853
24804,816391,3383853,816268,3383867
24901,816488,3383709,816550,3383704
24902,816550,3383704,816556,3383779
24903,816556,3383779,816564,3383863
25001,820019,3383695,820151,3383795
25002,820151,3383795,820216,3383921
25101,820216,3383921,820677,3383772
25201,817888,3383590,817907,3383861
25202,817907,3383861,817883,3383966
25301,815369,3383805,815311,3383540
25401,816256,3383994,816564,3383863
25402,816564,3383863,816776,3383869
25403,816776,3383869,816814,3383816
25501,816256,3383994,816268,3383867
25502,816268,3383867,816243,3383512
25601,817282,3384000,817585,3383939
25602,817585,3383939,817766,3383953
25603,817766,3383953,817883,3383966
25701,819745,3384026,819795,3383994
25702,819795,3383994,820019,3383695
25801,818439,3384028,818268,3384009
25802,818268,3384009,817883,3383966
25901,819365,3383580,819578,3384091
26001,818439,3384028,819430,3384142
26101,816860,3384098,816922,3384080
26102,816922,3384080,817282,3384000
26201,819745,3384026,819812,3384214
26301,819812,3384214,819907,3384188
26302,819907,3384188,820270,3384228
26401,820216,3383921,820278,3384091
26402,820278,3384091,820270,3384228
26501,820270,3384228,820678,3384268
26601,820678,3384268,820725,3383918
26602,820725,3383918,820677,3383772
26701,817282,3384000,817378,3384317
26801,821180,3384313,821630,3384253
26802,821630,3384253,821754,3384295
26803,821754,3384295,821868,3384288
26804,821868,3384288,822134,3384235
26805,822134,3384235,822391,3384313
26806,822391,3384313,822759,3384118
26807,822759,3384118,823123,3383948
26808,823123,3383948,823278,3383499
26809,823278,3383499,823529,3383246
26810,823529,3383246,823553,3383104
26901,821180,3384313,821297,3383572
27001,820678,3384268,821180,3384313
27101,819658,3384272,819578,3384091
27201,817883,3383966,817840,3384242
27301,815589,3384659,815451,3384340
27302,815451,3384340,815423,3384274
27303,815423,3384274,815404,3384193
27304,815404,3384193,815369,3383805
27401,816011,3384223,816199,3384167
27402,816199,3384167,816860,3384098
27501,819430,3384142,819505,3384329
27601,820256,3384392,820270,3384228
27701,817378,3384317,817840,3384242
27801,820657,3384453,820256,3384392
27901,820681,3384863,820628,3384685
27902,820628,3384685,820657,3384453
27903,820657,3384453,820678,3384268
28001,815451,3384340,816011,3384223
28101,816860,3384098,816895,3384392
28201,816895,3384392,817378,3384317
28301,816377,3384464,816895,3384392
28401,819781,3384585,819658,3384272
28501,820256,3384392,819781,3384585
28601,820317,3384631,820256,3384392
28701,821338,3384977,821243,3384660
28702,821243,3384660,821180,3384313
28801,816124,3384528,816011,3384223
28901,816124,3384528,816377,3384464
29001,819505,3384329,819224,3384660
29101,816124,3384528,815921,3384577
29102,815921,3384577,815589,3384659
29201,818268,3384009,818242,3384231
29202,818242,3384231,818174,3384361
29203,818174,3384361,818121,3384716
29301,818439,3384028,818404,3384592
29302,818404,3384592,818121,3384716
29401,817840,3384242,817760,3384716
29402,817760,3384716,817718,3385080
29501,819334,3384764,819224,3384660
29601,819781,3384585,819334,3384764
29701,819870,3384812,819781,3384585
29801,820317,3384631,819870,3384812
29901,820494,3384931,820681,3384863
29902,820681,3384863,821243,3384660
30001,816377,3384464,816479,3384813
30002,816479,3384813,816551,3384994
30003,816551,3384994,816608,3385240
30101,820494,3384931,820317,3384631
30201,821573,3384929,821338,3384977
30202,821338,3384977,820786,3385063
30203,820786,3385063,820633,3385170
30204,820633,3385170,820474,3385294
30205,820474,3385294,820206,3385514
30301,816295,3385206,816203,3384904
30302,816203,3384904,816141,3384701
30303,816141,3384701,816124,3384528
30401,819433,3385000,819334,3384764
30501,819870,3384812,819433,3385000
30601,818121,3384716,818223,3384986
30602,818223,3384986,818288,3385156
30701,819224,3384660,819117,3384600
30702,819117,3384600,818223,3384986
30801,820633,3385170,820494,3384931
30901,820005,3385157,819870,3384812
31001,820005,3385157,820494,3384931
31101,816022,3385267,815863,3385083
31102,815863,3385083,815589,3384659
31201,817718,3385080,818288,3385156
31301,817718,3385080,817347,3385154
31302,817347,3385154,816958,3385206
31401,816608,3385240,816295,3385206
31501,816958,3385206,816608,3385240
31601,818288,3385156,819082,3385319
31701,819577,3385343,819433,3385000
31801,819577,3385343,820005,3385157
31901,817370,3385487,817360,3385293
31902,817360,3385293,817347,3385154
32001,820005,3385157,820206,3385514
32101,816295,3385206,816116,3385222
32102,816116,3385222,816022,3385267
32201,819082,3385319,819422,3385386
32202,819422,3385386,819577,3385343
32301,821815,3385575,821464,3385519
32302,821464,3385519,820847,3385429
32303,820847,3385429,820633,3385170
32401,816608,3385240,816684,3385423
32402,816684,3385423,816734,3385560
32403,816734,3385560,816848,3385837
32501,821815,3385575,821573,3384929
32601,816958,3385206,816987,3385413
32602,816987,3385413,816994,3385465
